time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,104,104,647.0480769230769,67293.0,1.076688,1.076688
1000.0,117,221,537.974358974359,130236.0,1.041888,1.0070880000000002
1500.0,116,337,575.948275862069,197046.0,1.050912,1.06896
2000.0,91,428,623.4505494505495,253780.0,1.01512,0.907744
2500.0,118,546,622.4745762711865,327232.0,1.0471423999999998,1.175232
3000.0,115,661,572.4347826086956,393062.0,1.0481653333333334,1.05328
3500.0,93,754,625.5698924731183,451240.0,1.0314057142857143,0.9308480000000001
4000.0,104,858,691.6442307692307,523171.0,1.046342,1.150896
4500.0,105,963,622.2,588502.0,1.0462257777777777,1.0452960000000002
5000.0,114,1077,624.921052631579,659743.0,1.0555888,1.139856
5500.0,106,1183,607.0566037735849,724091.0,1.0532232727272728,1.029568
6000.0,104,1287,648.8365384615385,791570.0,1.0554266666666667,1.079664
6500.0,95,1382,604.2315789473685,848972.0,1.0448886153846153,0.9184320000000001
7000.0,92,1474,635.0326086956521,907395.0,1.0370228571428572,0.9347679999999999
7500.0,101,1575,525.4356435643564,960464.0,1.0244949333333333,0.8491039999999999
8000.0,103,1678,584.6990291262136,1020688.0,1.020688,0.9635840000000001
8500.0,92,1770,578.3695652173913,1073898.0,1.0107275294117648,0.8513599999999999
9000.0,97,1867,605.5257731958762,1132634.0,1.0067857777777778,0.9397759999999998
9500.0,113,1980,612.4424778761062,1201840.0,1.0120757894736843,1.107296
10000.0,123,2103,589.040650406504,1274292.0,1.0194336,1.159232
10500.0,104,2207,591.7692307692307,1335836.0,1.0177798095238095,0.9847039999999999
11000.0,95,2302,601.0947368421052,1392940.0,1.0130472727272728,0.913664
11500.0,110,2412,670.4090909090909,1466685.0,1.0203026086956521,1.17992
12000.0,105,2517,593.1904761904761,1528970.0,1.0193133333333333,0.9965599999999999
12500.0,103,2620,641.6699029126214,1595062.0,1.0208396800000001,1.057472
