time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
500.0,430,430,616.8488372093024,265245.0,Infinity,Infinity
1000.0,475,905,554.0273684210526,528408.0,8.454528,4.210608
1500.0,432,1337,612.238425925926,792895.0,6.34316,4.231792
2000.0,443,1780,581.3431151241535,1050430.0,5.602293333333333,4.12056
2500.0,452,2232,591.0442477876106,1317582.0,5.270328,4.274432
3000.0,439,2671,593.6400911161732,1578190.0,5.050208,4.169728
3500.0,446,3117,601.4596412556053,1846441.0,4.923842666666666,4.292016
4000.0,430,3547,626.5255813953488,2115847.0,4.836221714285714,4.310496
4500.0,414,3961,632.9009661835748,2377868.0,4.755736,4.192335999999999
5000.0,432,4393,592.4583333333334,2633810.0,4.682328888888889,4.095072
5500.0,424,4817,616.1485849056604,2895057.0,4.6320912000000005,4.179952
6000.0,446,5263,596.8430493273543,3161249.0,4.598180363636364,4.259072
6500.0,438,5701,607.6712328767123,3427409.0,4.569878666666666,4.25856
7000.0,433,6134,607.0207852193995,3690249.0,4.541844923076923,4.20544
7500.0,426,6560,610.5093896713615,3950326.0,4.514658285714286,4.161232
8000.0,439,6999,597.7813211845103,4212752.0,4.493602133333334,4.198816
8500.0,447,7446,586.7472035794184,4475028.0,4.475028,4.196416
9000.0,436,7882,600.3600917431193,4736785.0,4.458150588235294,4.188112
9500.0,423,8305,611.3475177304964,4995385.0,4.440342222222223,4.1376
10000.0,426,8731,619.112676056338,5259127.0,4.428738526315789,4.219872
10500.0,446,9177,577.5179372197309,5516700.0,4.41336,4.121168
11000.0,445,9622,591.676404494382,5779996.0,4.403806476190476,4.212736
11500.0,439,10061,591.3302961275626,6039590.0,4.392429090909091,4.153504
12000.0,440,10501,601.4068181818182,6304209.0,4.385536695652174,4.233904
12500.0,449,10950,587.271714922049,6567894.0,4.378596,4.21896
13000.0,449,11399,583.0066815144767,6829664.0,4.37098496,4.18832
13500.0,439,11838,596.4009111617312,7091484.0,4.363990153846154,4.18912
14000.0,434,12272,602.020737327189,7352761.0,4.357191703703704,4.180432
14500.0,418,12690,627.4090909090909,7615018.0,4.351438857142857,4.196112
15000.0,430,13120,592.8232558139534,7869932.0,4.342031448275862,4.078624
15500.0,447,13567,593.5257270693512,8135238.0,4.3387936,4.244896
16000.0,442,14009,572.8484162895927,8388437.0,4.329515870967742,4.051183999999999
16500.0,442,14451,588.8257918552036,8648698.0,4.324349,4.164176
17000.0,449,14900,591.5812917594654,8914318.0,4.322093575757576,4.24992
17500.0,450,15350,580.7444444444444,9175653.0,4.317954352941177,4.18136
18000.0,438,15788,587.5753424657535,9433011.0,4.3122336,4.1177280000000005
18500.0,436,16224,600.4266055045872,9694797.0,4.308798666666667,4.188576
19000.0,416,16640,644.5865384615385,9962945.0,4.30830054054054,4.290368
19500.0,436,17076,603.7224770642201,1.0226168E7,4.305754947368421,4.211568
20000.0,432,17508,610.863425925926,1.0490061E7,4.30361476923077,4.222288
20500.0,434,17942,604.1981566820276,1.0752283E7,4.3009132,4.195552
21000.0,425,18367,614.1882352941177,1.1013313E7,4.297878243902439,4.176480000000001
21500.0,441,18808,592.7278911564625,1.1274706E7,4.295126095238095,4.182288
22000.0,439,19247,606.3166287015945,1.1540879E7,4.294280558139534,4.258768
22500.0,459,19706,567.4357298474946,1.1801332E7,4.291393454545455,4.167248000000001
23000.0,437,20143,590.1487414187643,1.2059227E7,4.287725155555556,4.12632
23500.0,443,20586,593.1444695259594,1.232199E7,4.28590956521739,4.204208
24000.0,458,21044,572.3995633187773,1.2584149E7,4.283965617021277,4.194544
24500.0,435,21479,606.5563218390805,1.2848001E7,4.282667,4.221632
25000.0,433,21912,606.5334872979215,1.311063E7,4.281022040816326,4.202064
25500.0,436,22348,597.2981651376147,1.3371052E7,4.27873664,4.166752
26000.0,429,22777,608.7785547785547,1.3632218E7,4.276774274509805,4.178655999999999
26500.0,435,23212,594.0597701149426,1.3890634E7,4.27404123076923,4.1346560000000006
27000.0,456,23668,584.7741228070175,1.4157291E7,4.273899169811321,4.266512
27500.0,469,24137,574.9936034115138,1.4426963E7,4.274655703703703,4.314752
28000.0,430,24567,612.246511627907,1.4690229E7,4.273521163636364,4.212256
28500.0,423,24990,610.8297872340426,1.494861E7,4.271031428571428,4.134096
29000.0,434,25424,606.5184331797235,1.5211839E7,4.269989894736843,4.211664
29500.0,463,25887,563.4449244060476,1.5472714E7,4.268334896551725,4.174
30000.0,441,26328,600.936507936508,1.5737727E7,4.267858169491526,4.240208
30500.0,446,26774,576.9282511210762,1.5995037E7,4.2653432,4.11696
31000.0,450,27224,583.7333333333333,1.6257717E7,4.264319213114755,4.20288
31500.0,423,27647,636.1560283687943,1.6526811E7,4.264983483870967,4.305504
32000.0,419,28066,631.2505966587112,1.6791305E7,4.264458412698413,4.231904
32500.0,434,28500,605.8248847926267,1.7054233E7,4.26355825,4.206848
33000.0,422,28922,612.1729857819905,1.731257E7,4.261555692307692,4.133392
33500.0,429,29351,604.8018648018648,1.757203E7,4.2598860606060605,4.15136
34000.0,453,29804,584.2958057395143,1.7836716E7,4.259514268656716,4.234976
34500.0,437,30241,595.6064073226545,1.8096996E7,4.258116705882353,4.16448
