time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,97,97,587.7628865979382,57013.0,0.912208,0.912208
1000.0,99,196,597.4444444444445,116160.0,0.92928,0.946352
1500.0,89,285,632.0786516853933,172415.0,0.9195466666666666,0.9000800000000001
2000.0,108,393,526.4814814814815,229275.0,0.9171,0.9097600000000001
2500.0,93,486,567.0967741935484,282015.0,0.902448,0.84384
3000.0,108,594,588.074074074074,345527.0,0.9214053333333334,1.016192
3500.0,107,701,653.9626168224299,415501.0,0.9497165714285715,1.119584
4000.0,96,797,605.6145833333334,473640.0,0.94728,0.930224
4500.0,90,887,595.1222222222223,527201.0,0.9372462222222221,0.856976
5000.0,107,994,582.8224299065421,589563.0,0.9433007999999999,0.997792
5500.0,105,1099,563.9809523809524,648781.0,0.9436814545454546,0.9474880000000001
6000.0,88,1187,618.6022727272727,703218.0,0.937624,0.870992
6500.0,99,1286,638.7979797979798,766459.0,0.9433341538461538,1.011856
7000.0,101,1387,596.940594059406,826750.0,0.9448571428571428,0.964656
7500.0,105,1492,607.847619047619,890574.0,0.9499456,1.0211839999999999
8000.0,101,1593,615.3168316831683,952721.0,0.952721,0.994352
8500.0,89,1682,559.438202247191,1002511.0,0.9435397647058824,0.79664
9000.0,96,1778,593.8645833333334,1059522.0,0.9417973333333333,0.912176
9500.0,108,1886,568.0555555555555,1120872.0,0.9438922105263159,0.9816
10000.0,99,1985,648.0909090909091,1185033.0,0.9480264,1.026576
10500.0,103,2088,649.9902912621359,1251982.0,0.9538910476190476,1.071184
11000.0,108,2196,636.7870370370371,1320755.0,0.9605490909090908,1.100368
11500.0,107,2303,626.4205607476636,1387782.0,0.9654135652173913,1.072432
12000.0,109,2412,552.3302752293578,1447986.0,0.965324,0.963264
12500.0,106,2518,573.7830188679245,1508807.0,0.96563648,0.973136
13000.0,96,2614,594.3958333333334,1565869.0,0.9636116923076924,0.912992
13500.0,113,2727,584.5221238938053,1631920.0,0.9670637037037038,1.056816
14000.0,109,2836,601.0183486238532,1697431.0,0.9699605714285715,1.0481759999999998
14500.0,112,2948,633.6607142857143,1768401.0,0.9756695172413794,1.13552
15000.0,120,3068,605.1166666666667,1841015.0,0.9818746666666668,1.161824
15500.0,106,3174,572.7547169811321,1901727.0,0.9815365161290323,0.971392
16000.0,69,3243,634.6231884057971,1945516.0,0.972758,0.700624
16500.0,102,3345,613.8333333333334,2008127.0,0.9736373333333334,1.0017760000000002
17000.0,99,3444,540.6565656565657,2061652.0,0.9701891764705882,0.8564000000000002
17500.0,90,3534,614.1333333333333,2116924.0,0.9677366857142857,0.884352
18000.0,88,3622,677.2159090909091,2176519.0,0.9673417777777777,0.95352
18500.0,103,3725,581.3980582524272,2236403.0,0.9670931891891891,0.958144
19000.0,100,3825,647.25,2301128.0,0.968896,1.0356
19500.0,121,3946,603.2479338842975,2374121.0,0.973998358974359,1.167888
20000.0,101,4047,585.4752475247525,2433254.0,0.9733016,0.946128
20500.0,112,4159,614.2321428571429,2502048.0,0.976408975609756,1.100704
