time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,4872,4872,1010.5862068965517,4923576.0,78.777216,78.777216
1000.0,4872,9744,1029.6268472906404,9939918.0,79.519344,80.261472
1500.0,4768,14512,1005.7900587248322,1.4735525E7,78.58946666666665,76.729712
2000.0,4735,19247,1021.0946145723337,1.9570408E7,78.281632,77.358128
2500.0,4925,24172,1026.7579695431473,2.4627191E7,78.80701119999999,80.908528
3000.0,4868,29040,1032.4490550534101,2.9653153E7,79.07507466666667,80.415392
3500.0,4821,33861,1016.2337689276084,3.4552416E7,78.97695085714287,78.388208
4000.0,4886,38747,1028.0785918952108,3.9575608E7,79.151216,80.371072
4500.0,4906,43653,1020.9759478189972,4.4584516E7,79.2613617777778,80.142528
5000.0,4912,48565,1018.1215390879479,4.9585529E7,79.33684639999998,80.016208
5500.0,4792,53357,1021.4929048414024,5.4480523E7,79.24439709090908,78.319904
6000.0,4773,58130,1020.4772679656401,5.9351261E7,79.13501466666668,77.931808
6500.0,4815,62945,1018.0207684319834,6.4253031E7,79.08065353846153,78.42832
7000.0,4878,67823,1008.9372693726938,6.9174627E7,79.05671657142857,78.745536
7500.0,4898,72721,1024.016129032258,7.4190258E7,79.1362752,80.250096
8000.0,4714,77435,1012.6817988969028,7.896404E7,78.96404,76.380512
8500.0,4819,82254,1025.4262295081967,8.3905569E7,78.96994729411765,79.064464
9000.0,4743,86997,1007.0092768290111,8.8681814E7,78.82827911111112,76.41992
9500.0,4907,91904,1030.4242918280008,9.3738106E7,78.93735242105264,80.900672
10000.0,4857,96761,1028.1222977146388,9.8731696E7,78.98535679999999,79.89744000000002
10500.0,4850,101611,1023.460412371134,1.03695479E8,79.00607923809524,79.420528
11000.0,4714,106325,1028.2738650827323,1.08542762E8,78.94019054545454,77.556528
11500.0,4763,111088,1015.0436699559101,1.13377415E8,78.87124521739129,77.354448
12000.0,4831,115919,1023.4226868143242,1.1832157E8,78.88104666666666,79.10648
12500.0,4782,120701,1021.6601840234212,1.23207149E8,78.85257536,78.169264
