time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,727,727,1141.9147180192572,830172.0,13.282752,13.282752
1000.0,692,1419,1144.1849710982658,1621948.0,12.975584,12.668415999999999
1500.0,677,2096,1136.367799113737,2391269.0,12.753434666666665,12.309135999999999
2000.0,683,2779,1141.510980966325,3170921.0,12.683684,12.474431999999998
2500.0,662,3441,1198.8187311178249,3964539.0,12.686524799999999,12.697888000000003
3000.0,686,4127,1159.723032069971,4760109.0,12.693624,12.729120000000002
3500.0,742,4869,1147.0215633423181,5611199.0,12.825597714285715,13.61744
4000.0,713,5582,1151.9424964936886,6432534.0,12.865068,13.14136
4500.0,698,6280,1150.7779369627508,7235777.0,12.863603555555557,12.851888000000002
5000.0,672,6952,1143.8065476190477,8004415.0,12.807064,12.298208
5500.0,726,7678,1136.121212121212,8829239.0,12.842529454545454,13.197183999999998
6000.0,689,8367,1122.3497822931786,9602538.0,12.803384,12.372784
6500.0,702,9069,1129.6025641025642,1.0395519E7,12.794484923076924,12.687696000000003
7000.0,686,9755,1078.6690962099126,1.1135486E7,12.726269714285715,11.839472
7500.0,750,10505,1106.4346666666668,1.1965312E7,12.762999466666667,13.277216000000001
8000.0,690,11195,1152.5565217391304,1.2760576E7,12.760576,12.724224
8500.0,731,11926,1202.3666210670315,1.3639506E7,12.837182117647059,14.06288
9000.0,707,12633,1100.3960396039604,1.4417486E7,12.815543111111111,12.44768
9500.0,747,13380,1166.1004016064257,1.5288563E7,12.874579368421054,13.937232
10000.0,641,14021,1163.8627145085804,1.6034599E7,12.8276792,11.936576000000002
10500.0,690,14711,1107.6,1.6798843E7,12.799118476190477,12.227903999999999
11000.0,697,15408,1177.8278335724533,1.7619789E7,12.814392,13.135136
11500.0,688,16096,1182.4970930232557,1.8433347E7,12.823197913043476,13.016928
12000.0,686,16782,1181.234693877551,1.9243674E7,12.829116,12.965232
12500.0,689,17471,1164.5370101596516,2.004604E7,12.829465599999999,12.837855999999999
13000.0,713,18184,1131.2987377279103,2.0852656E7,12.832403692307691,12.905856
13500.0,697,18881,1138.3314203730272,2.1646073E7,12.827302518518518,12.694672
14000.0,723,19604,1164.2323651452282,2.2487813E7,12.850178857142856,13.46784
14500.0,667,20271,1165.9775112443779,2.326552E7,12.836148965517241,12.443312
15000.0,660,20931,1168.490909090909,2.4036724E7,12.819586133333335,12.339264
15500.0,690,21621,1144.3869565217392,2.4826351E7,12.813600516129032,12.634032
16000.0,665,22286,1201.5503759398496,2.5625382E7,12.812691,12.784496
16500.0,660,22946,1166.8166666666666,2.6395481E7,12.797808969696968,12.321584
17000.0,663,23609,1140.9532428355958,2.7151933E7,12.77738023529412,12.103232
17500.0,679,24288,1167.0265095729014,2.7944344E7,12.774557257142856,12.678576000000001
18000.0,720,25008,1142.7333333333333,2.8767112E7,12.785383111111111,13.164288
18500.0,649,25657,1198.7395993836672,2.9545094E7,12.776256864864866,12.447712
19000.0,709,26366,1181.6417489421722,3.0382878E7,12.792790736842106,13.404544000000001
19500.0,714,27080,1137.3809523809523,3.1194968E7,12.797935589743588,12.993439999999998
20000.0,720,27800,1189.4333333333334,3.205136E7,12.820544,13.702272
20500.0,706,28506,1117.5779036827196,3.284037E7,12.815754146341463,12.62416
21000.0,710,29216,1115.607042253521,3.3632451E7,12.812362285714286,12.673296
21500.0,708,29924,1115.4661016949153,3.4422201E7,12.808260837209302,12.636
22000.0,670,30594,1110.6388059701492,3.5166329E7,12.787756,11.906048
22500.0,677,31271,1183.4490398818316,3.5967524E7,12.788452977777776,12.81912
23000.0,737,32008,1155.8385345997285,3.6819377E7,12.806739826086956,13.629647999999998
23500.0,634,32642,1150.435331230284,3.7548753E7,12.782554212765959,11.670016
24000.0,679,33321,1135.1119293078057,3.8319494E7,12.773164666666668,12.331856
24500.0,686,34007,1111.8367346938776,3.9082214E7,12.761539265306123,12.20352
25000.0,744,34751,1129.1895161290322,3.9922331E7,12.77514592,13.441872
25500.0,650,35401,1158.68,4.0675473E7,12.760932705882354,12.050272
26000.0,751,36152,1154.797603195739,4.1542726E7,12.78237723076923,13.876047999999997
26500.0,706,36858,1171.3059490084986,4.2369668E7,12.79084316981132,13.231072
27000.0,719,37577,1167.8038942976357,4.3209319E7,12.802761185185185,13.434416
27500.0,663,38240,1142.396681749623,4.3966728E7,12.790320872727273,12.118544
28000.0,672,38912,1124.967261904762,4.4722706E7,12.777916,12.095648
28500.0,718,39630,1118.2715877437327,4.5525625E7,12.779122807017544,12.846704
29000.0,679,40309,1159.8792341678939,4.6313183E7,12.77605048275862,12.600927999999998
29500.0,716,41025,1103.667597765363,4.7103409E7,12.773805830508474,12.643616
30000.0,718,41743,1150.2590529247911,4.7929295E7,12.781145333333335,13.214176
30500.0,652,42395,1144.7101226993866,4.8675646E7,12.767382557377049,11.941616000000002
31000.0,725,43120,1205.895172413793,4.954992E7,12.78707612903226,13.988384
31500.0,655,43775,1124.6900763358778,5.0286592E7,12.771197968253968,11.786752
32000.0,696,44471,1165.2758620689656,5.1097624E7,12.774406,12.976512
32500.0,670,45141,1114.7805970149254,5.1844527E7,12.761729723076924,11.950448
33000.0,675,45816,1167.9125925925925,5.2632868E7,12.75948315151515,12.613456
33500.0,679,46495,1099.8939617083947,5.3379696E7,12.747390089552239,11.949248
34000.0,749,47244,1155.4459279038717,5.4245125E7,12.763558823529413,13.846863999999998
34500.0,717,47961,1150.7531380753137,5.5070215E7,12.769904927536233,13.201439999999998
35000.0,715,48676,1131.8951048951049,5.587952E7,12.772461714285715,12.94888
35500.0,696,49372,1183.7169540229886,5.6703387E7,12.77822805633803,13.181872000000002
36000.0,697,50069,1170.9512195121952,5.751954E7,12.78212,13.058448
36500.0,706,50775,1123.4688385269121,5.8312709E7,12.780867726027397,12.690704
37000.0,690,51465,1145.0347826086957,5.9102783E7,12.778980108108106,12.641184
37500.0,707,52172,1153.4158415841584,5.9918248E7,12.782559573333334,13.04744
38000.0,700,52872,1213.2328571428573,6.0767511E7,12.793160210526315,13.588208000000002
38500.0,722,53594,1139.0069252077562,6.1589874E7,12.797895896103894,13.157808
39000.0,707,54301,1153.0876944837341,6.2405107E7,12.80104758974359,13.043728
39500.0,685,54986,1136.9576642335767,6.3183923E7,12.796743898734178,12.461056
