time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,1,1,327.0,327.0,0.005232,0.005232
1000.0,1,2,327.0,654.0,0.005232,0.005232
1500.0,1,3,327.0,981.0,0.005232,0.005232
2000.0,0,3,NaN,981.0,0.003924,NaN
2500.0,0,3,NaN,981.0,0.0031392000000000004,NaN
3000.0,0,3,NaN,981.0,0.002616,NaN
3500.0,1,4,327.0,1308.0,0.0029897142857142857,0.005232
4000.0,0,4,NaN,1308.0,0.002616,NaN
4500.0,0,4,NaN,1308.0,0.0023253333333333333,NaN
5000.0,0,4,NaN,1308.0,0.0020928,NaN
5500.0,0,4,NaN,1308.0,0.0019025454545454545,NaN
6000.0,0,4,NaN,1308.0,0.001744,NaN
6500.0,0,4,NaN,1308.0,0.001609846153846154,NaN
7000.0,0,4,NaN,1308.0,0.0014948571428571428,NaN
7500.0,0,4,NaN,1308.0,0.0013952,NaN
8000.0,1,5,327.0,1635.0,0.001635,0.005232
8500.0,0,5,NaN,1635.0,0.0015388235294117646,NaN
9000.0,0,5,NaN,1635.0,0.0014533333333333332,NaN
9500.0,0,5,NaN,1635.0,0.0013768421052631579,NaN
10000.0,0,5,NaN,1635.0,0.001308,NaN
10500.0,0,5,NaN,1635.0,0.0012457142857142858,NaN
11000.0,0,5,NaN,1635.0,0.0011890909090909092,NaN
11500.0,0,5,NaN,1635.0,0.001137391304347826,NaN
12000.0,0,5,NaN,1635.0,0.00109,NaN
12500.0,0,5,NaN,1635.0,0.0010464,NaN
13000.0,0,5,NaN,1635.0,0.0010061538461538463,NaN
13500.0,0,5,NaN,1635.0,9.688888888888889E-4,NaN
14000.0,0,5,NaN,1635.0,9.342857142857142E-4,NaN
14500.0,0,5,NaN,1635.0,9.020689655172414E-4,NaN
15000.0,0,5,NaN,1635.0,8.72E-4,NaN
15500.0,0,5,NaN,1635.0,8.438709677419355E-4,NaN
16000.0,0,5,NaN,1635.0,8.175E-4,NaN
16500.0,0,5,NaN,1635.0,7.927272727272727E-4,NaN
17000.0,0,5,NaN,1635.0,7.694117647058823E-4,NaN
17500.0,0,5,NaN,1635.0,7.474285714285714E-4,NaN
18000.0,0,5,NaN,1635.0,7.266666666666666E-4,NaN
18500.0,0,5,NaN,1635.0,7.070270270270269E-4,NaN
19000.0,0,5,NaN,1635.0,6.884210526315789E-4,NaN
19500.0,0,5,NaN,1635.0,6.707692307692309E-4,NaN
20000.0,0,5,NaN,1635.0,6.54E-4,NaN
20500.0,0,5,NaN,1635.0,6.380487804878048E-4,NaN
21000.0,0,5,NaN,1635.0,6.228571428571429E-4,NaN
21500.0,0,5,NaN,1635.0,6.083720930232558E-4,NaN
22000.0,0,5,NaN,1635.0,5.945454545454546E-4,NaN
22500.0,0,5,NaN,1635.0,5.813333333333333E-4,NaN
23000.0,0,5,NaN,1635.0,5.68695652173913E-4,NaN
23500.0,0,5,NaN,1635.0,5.56595744680851E-4,NaN
24000.0,0,5,NaN,1635.0,5.45E-4,NaN
24500.0,0,5,NaN,1635.0,5.338775510204081E-4,NaN
25000.0,0,5,NaN,1635.0,5.232E-4,NaN
25500.0,0,5,NaN,1635.0,5.129411764705883E-4,NaN
26000.0,0,5,NaN,1635.0,5.030769230769231E-4,NaN
26500.0,0,5,NaN,1635.0,4.935849056603774E-4,NaN
27000.0,0,5,NaN,1635.0,4.8444444444444446E-4,NaN
27500.0,0,5,NaN,1635.0,4.756363636363636E-4,NaN
28000.0,0,5,NaN,1635.0,4.671428571428571E-4,NaN
28500.0,0,5,NaN,1635.0,4.589473684210526E-4,NaN
29000.0,0,5,NaN,1635.0,4.510344827586207E-4,NaN
29500.0,0,5,NaN,1635.0,4.433898305084746E-4,NaN
30000.0,0,5,NaN,1635.0,4.36E-4,NaN
30500.0,0,5,NaN,1635.0,4.288524590163935E-4,NaN
31000.0,0,5,NaN,1635.0,4.219354838709677E-4,NaN
31500.0,0,5,NaN,1635.0,4.1523809523809525E-4,NaN
32000.0,0,5,NaN,1635.0,4.0875E-4,NaN
32500.0,0,5,NaN,1635.0,4.024615384615385E-4,NaN
33000.0,0,5,NaN,1635.0,3.963636363636364E-4,NaN
33500.0,0,5,NaN,1635.0,3.9044776119402983E-4,NaN
34000.0,0,5,NaN,1635.0,3.8470588235294114E-4,NaN
34500.0,0,5,NaN,1635.0,3.7913043478260866E-4,NaN
35000.0,0,5,NaN,1635.0,3.737142857142857E-4,NaN
35500.0,0,5,NaN,1635.0,3.6845070422535206E-4,NaN
36000.0,0,5,NaN,1635.0,3.633333333333333E-4,NaN
36500.0,0,5,NaN,1635.0,3.583561643835616E-4,NaN
37000.0,0,5,NaN,1635.0,3.5351351351351346E-4,NaN
37500.0,0,5,NaN,1635.0,3.488E-4,NaN
38000.0,0,5,NaN,1635.0,3.4421052631578947E-4,NaN
38500.0,0,5,NaN,1635.0,3.3974025974025973E-4,NaN
39000.0,0,5,NaN,1635.0,3.3538461538461543E-4,NaN
39500.0,0,5,NaN,1635.0,3.311392405063291E-4,NaN
40000.0,0,5,NaN,1635.0,3.27E-4,NaN
40500.0,0,5,NaN,1635.0,3.2296296296296294E-4,NaN
41000.0,0,5,NaN,1635.0,3.190243902439024E-4,NaN
41500.0,0,5,NaN,1635.0,3.151807228915663E-4,NaN
42000.0,0,5,NaN,1635.0,3.1142857142857144E-4,NaN
42500.0,0,5,NaN,1635.0,3.077647058823529E-4,NaN
43000.0,0,5,NaN,1635.0,3.041860465116279E-4,NaN
43500.0,0,5,NaN,1635.0,3.006896551724138E-4,NaN
44000.0,0,5,NaN,1635.0,2.972727272727273E-4,NaN
44500.0,0,5,NaN,1635.0,2.9393258426966293E-4,NaN
45000.0,0,5,NaN,1635.0,2.9066666666666667E-4,NaN
45500.0,0,5,NaN,1635.0,2.8747252747252745E-4,NaN
46000.0,0,5,NaN,1635.0,2.843478260869565E-4,NaN
46500.0,0,5,NaN,1635.0,2.812903225806452E-4,NaN
47000.0,0,5,NaN,1635.0,2.782978723404255E-4,NaN
47500.0,0,5,NaN,1635.0,2.7536842105263163E-4,NaN
48000.0,1,6,338.0,1973.0,3.288333333333333E-4,0.005408
48500.0,1,7,338.0,2311.0,3.811958762886598E-4,0.005408
49000.0,1,8,338.0,2649.0,4.3248979591836733E-4,0.005408
49500.0,0,8,NaN,2649.0,4.2812121212121215E-4,NaN
50000.0,1,9,338.0,2987.0,4.7792E-4,0.005408
50500.0,1,10,338.0,3325.0,5.267326732673267E-4,0.005408
51000.0,0,10,NaN,3325.0,5.215686274509804E-4,NaN
51500.0,0,10,NaN,3325.0,5.16504854368932E-4,NaN
52000.0,1,11,338.0,3663.0,5.635384615384616E-4,0.005408
52500.0,1,12,338.0,4001.0,6.096761904761906E-4,0.005408
53000.0,0,12,NaN,4001.0,6.039245283018868E-4,NaN
53500.0,0,12,NaN,4001.0,5.982803738317757E-4,NaN
54000.0,0,12,NaN,4001.0,5.927407407407408E-4,NaN
54500.0,0,12,NaN,4001.0,5.87302752293578E-4,NaN
55000.0,0,12,NaN,4001.0,5.819636363636364E-4,NaN
55500.0,0,12,NaN,4001.0,5.767207207207207E-4,NaN
56000.0,0,12,NaN,4001.0,5.715714285714287E-4,NaN
56500.0,0,12,NaN,4001.0,5.665132743362832E-4,NaN
57000.0,0,12,NaN,4001.0,5.615438596491228E-4,NaN
57500.0,0,12,NaN,4001.0,5.566608695652175E-4,NaN
58000.0,1,13,323.0,4324.0,5.964137931034483E-4,0.005168
58500.0,1,14,323.0,4647.0,6.354871794871795E-4,0.005168
59000.0,1,15,323.0,4970.0,6.738983050847457E-4,0.005168
59500.0,1,16,323.0,5293.0,7.116638655462185E-4,0.005168
60000.0,0,16,NaN,5293.0,7.057333333333333E-4,NaN
60500.0,0,16,NaN,5293.0,6.99900826446281E-4,NaN
