time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,134,134,1057.865671641791,141754.0,2.268064,2.268064
1000.0,133,267,1046.9774436090227,281002.0,2.248016,2.227968
1500.0,133,400,969.1278195488721,409896.0,2.186112,2.062304
2000.0,136,536,925.5294117647059,535768.0,2.143072,2.013952
2500.0,135,671,906.2518518518518,658112.0,2.1059584,1.957504
3000.0,128,799,962.90625,781364.0,2.083637333333333,1.972032
3500.0,140,939,1022.9,924570.0,2.113302857142857,2.291296
4000.0,113,1052,1060.1238938053098,1044364.0,2.088728,1.916704
4500.0,138,1190,968.2971014492754,1177989.0,2.0942026666666664,2.138
5000.0,145,1335,919.0413793103448,1311250.0,2.098,2.132176
5500.0,111,1446,989.4684684684685,1421081.0,2.067026909090909,1.757296
6000.0,136,1582,966.1764705882352,1552481.0,2.0699746666666665,2.1024
6500.0,138,1720,901.9420289855072,1676949.0,2.0639372307692305,1.991488
7000.0,124,1844,1057.6209677419354,1808094.0,2.0663931428571427,2.09832
7500.0,126,1970,1017.7301587301587,1936328.0,2.0654165333333334,2.051744
8000.0,120,2090,934.25,2048438.0,2.048438,1.79376
8500.0,143,2233,1045.951048951049,2198009.0,2.0687143529411762,2.393136
9000.0,133,2366,1068.0,2340053.0,2.080047111111111,2.272704
9500.0,143,2509,966.93006993007,2478324.0,2.087009684210526,2.212336
10000.0,153,2662,979.3006535947712,2628157.0,2.1025256,2.397328
10500.0,137,2799,1035.2919708029196,2769992.0,2.110470095238095,2.26936
11000.0,132,2931,909.7878787878788,2890084.0,2.1018792727272726,1.921472
11500.0,128,3059,918.8515625,3007697.0,2.092310956521739,1.881808
12000.0,142,3201,1045.8591549295775,3156209.0,2.1041393333333334,2.376192
12500.0,138,3339,969.6014492753624,3290014.0,2.10560896,2.14088
13000.0,139,3478,1108.1654676258993,3444049.0,2.1194147692307697,2.46456
13500.0,154,3632,1006.1948051948052,3599003.0,2.1327425185185183,2.479264
14000.0,134,3766,982.4701492537314,3730654.0,2.1318022857142855,2.106416
14500.0,128,3894,910.171875,3847156.0,2.1225688275862065,1.864032
15000.0,132,4026,928.6060606060606,3969732.0,2.1171903999999997,1.961216
15500.0,131,4157,969.9465648854962,4096795.0,2.1144748387096777,2.033008
16000.0,123,4280,904.6585365853658,4208068.0,2.104034,1.780368
16500.0,155,4435,994.6129032258065,4362233.0,2.1150220606060604,2.46664
17000.0,133,4568,995.6466165413534,4494654.0,2.1151312941176474,2.118736
17500.0,146,4714,880.8904109589041,4623264.0,2.1134921142857146,2.05776
18000.0,113,4827,890.9380530973451,4723940.0,2.099528888888889,1.610816
18500.0,138,4965,922.036231884058,4851181.0,2.097808,2.035856
19000.0,147,5112,1007.5714285714286,4999294.0,2.1049658947368424,2.369808
19500.0,144,5256,1024.4583333333333,5146816.0,2.1115142564102567,2.360352
20000.0,138,5394,1020.3985507246376,5287631.0,2.1150523999999997,2.25304
20500.0,146,5540,1007.5342465753424,5434731.0,2.1208706341463417,2.3536
21000.0,151,5691,1056.9337748344371,5594328.0,2.1311725714285714,2.553552
21500.0,151,5842,1106.549668874172,5761417.0,2.1437830697674416,2.6734239999999994
22000.0,150,5992,999.8866666666667,5911400.0,2.1496,2.399728
22500.0,140,6132,965.1142857142858,6046516.0,2.149872355555556,2.161856
23000.0,122,6254,976.9672131147541,6165706.0,2.1445933913043476,1.90704
23500.0,137,6391,1022.4963503649635,6305788.0,2.146651234042553,2.241312
24000.0,137,6528,968.6569343065694,6438494.0,2.1461646666666665,2.123296
24500.0,144,6672,1054.9305555555557,6590404.0,2.1519686530612243,2.43056
25000.0,134,6806,899.9477611940298,6710997.0,2.14751904,1.9294879999999999
25500.0,118,6924,937.4406779661017,6821615.0,2.1401145098039214,1.769888
26000.0,131,7055,1037.2290076335878,6957492.0,2.140766769230769,2.174032
26500.0,125,7180,1001.248,7082648.0,2.1381578867924524,2.002496
27000.0,115,7295,1045.6695652173912,7202900.0,2.1341925925925924,1.9240319999999997
27500.0,134,7429,1032.5074626865671,7341256.0,2.135638109090909,2.213696
28000.0,126,7555,1038.9761904761904,7472167.0,2.1349048571428573,2.0945759999999995
28500.0,138,7693,1026.2028985507247,7613783.0,2.1372022456140356,2.265856
29000.0,132,7825,931.8030303030303,7736781.0,2.1342844137931034,1.967968
29500.0,135,7960,1036.4444444444443,7876701.0,2.1360545084745763,2.23872
30000.0,132,8092,1060.3181818181818,8016663.0,2.1377768,2.239392
30500.0,147,8239,968.625850340136,8159051.0,2.1400789508196723,2.278208
31000.0,138,8377,970.0579710144928,8292919.0,2.140108129032258,2.141888
31500.0,141,8518,1028.9574468085107,8438002.0,2.142984634920635,2.321328
32000.0,167,8685,970.754491017964,8600118.0,2.1500295,2.593856
32500.0,139,8824,1034.6978417266187,8743941.0,2.1523547076923077,2.301168
33000.0,138,8962,1036.9565217391305,8887041.0,2.154434181818182,2.2896
33500.0,125,9087,1059.56,9019486.0,2.1539071044776117,2.11912
34000.0,129,9216,974.5813953488372,9145207.0,2.151813411764706,2.011536
34500.0,152,9368,969.9078947368421,9292633.0,2.154813449275362,2.358816
35000.0,122,9490,978.0081967213115,9411950.0,2.1513028571428574,1.909072
35500.0,131,9621,950.6412213740458,9536484.0,2.1490668169014087,1.992544
36000.0,134,9755,944.2014925373135,9663007.0,2.147334888888889,2.024368
36500.0,136,9891,1073.7720588235295,9809040.0,2.1499265753424655,2.336528
37000.0,138,10029,1051.159420289855,9954100.0,2.152237837837838,2.32096
37500.0,139,10168,932.115107913669,1.0083664E7,2.1511816533333334,2.073024
38000.0,136,10304,1006.6691176470588,1.0220571E7,2.1516991578947366,2.190512
38500.0,150,10454,981.62,1.0367814E7,2.1543509610389613,2.355888
39000.0,130,10584,956.7076923076924,1.0492186E7,2.152243282051282,1.989952
39500.0,131,10715,1011.8320610687023,1.0624736E7,2.151845265822785,2.1208
40000.0,142,10857,898.0633802816901,1.0752261E7,2.1504522,2.0404
40500.0,144,11001,903.8472222222222,1.0882415E7,2.1496128395061724,2.082464
41000.0,132,11133,1026.4545454545455,1.1017907E7,2.149835512195122,2.167872
41500.0,141,11274,1048.3687943262412,1.1165727E7,2.152429301204819,2.36512
42000.0,111,11385,1049.3693693693695,1.1282207E7,2.14899180952381,1.8636800000000002
42500.0,150,11535,1028.78,1.1436524E7,2.152757458823529,2.469072
43000.0,122,11657,976.6639344262295,1.1555677E7,2.1498933953488373,1.906448
43500.0,146,11803,986.3082191780821,1.1699678E7,2.1516649195402295,2.304016
44000.0,151,11954,1036.0860927152319,1.1856127E7,2.1556594545454546,2.503184
44500.0,149,12103,1037.1812080536913,1.2010667E7,2.159221033707865,2.47264
45000.0,147,12250,967.8503401360545,1.2152941E7,2.1605228444444444,2.276384
45500.0,157,12407,972.171974522293,1.2305572E7,2.163617054945055,2.442096
46000.0,142,12549,953.9366197183099,1.2441031E7,2.1636575652173917,2.167344
46500.0,161,12710,1027.0124223602484,1.260638E7,2.168839569892473,2.645584
47000.0,138,12848,932.3623188405797,1.2735046E7,2.167667404255319,2.058656
47500.0,141,12989,1001.6241134751773,1.2876275E7,2.1686357894736843,2.259664
48000.0,151,13140,1032.9735099337747,1.3032254E7,2.1720423333333336,2.4956639999999997
48500.0,145,13285,1012.8413793103448,1.3179116E7,2.1738748041237113,2.349792
49000.0,144,13429,1001.9791666666666,1.3323401E7,2.1752491428571425,2.30856
49500.0,133,13562,1020.3609022556391,1.3459109E7,2.175209535353536,2.171328
50000.0,119,13681,1036.3193277310925,1.3582431E7,2.17318896,1.973152
50500.0,133,13814,1023.5563909774436,1.3718564E7,2.1732378613861387,2.178128
51000.0,157,13971,1002.2165605095541,1.3875912E7,2.1766136470588235,2.517568
51500.0,138,14109,923.1376811594203,1.4003305E7,2.1752706796116503,2.038288
52000.0,116,14225,937.2327586206897,1.4112024E7,2.171080615384615,1.739504
52500.0,135,14360,976.0444444444445,1.424379E7,2.170482285714286,2.108256
53000.0,121,14481,1046.5206611570247,1.4370419E7,2.169119849056604,2.026064
53500.0,139,14620,992.0863309352518,1.4508319E7,2.169468261682243,2.2064
54000.0,130,14750,983.7615384615384,1.4636208E7,2.168327111111111,2.046224
54500.0,132,14882,978.8939393939394,1.4765422E7,2.1674013944954127,2.067424
55000.0,123,15005,1031.0487804878048,1.4892241E7,2.1661441454545454,2.029104
55500.0,139,15144,969.5395683453237,1.5027007E7,2.1660550630630633,2.156256
56000.0,143,15287,993.8951048951049,1.5169134E7,2.167019142857143,2.274032
56500.0,132,15419,1007.4848484848485,1.5302122E7,2.1666721415929207,2.127808
57000.0,134,15553,1038.1268656716418,1.5441231E7,2.167190315789474,2.225744
57500.0,130,15683,964.5307692307692,1.556662E7,2.1657906086956524,2.006224
58000.0,129,15812,1027.3178294573643,1.5699144E7,2.1653991724137933,2.120384
58500.0,136,15948,1037.4411764705883,1.5840236E7,2.16618611965812,2.257472
59000.0,137,16085,991.2189781021898,1.5976033E7,2.1662417627118646,2.172752
59500.0,144,16229,1013.7222222222222,1.6122009E7,2.167665075630252,2.335616
60000.0,144,16373,984.4166666666666,1.6263765E7,2.168502,2.268096
60500.0,120,16493,957.4833333333333,1.6378663E7,2.165773619834711,1.838368
