time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
500.0,4872,4872,1010.5862068965517,4923576.0,Infinity,Infinity
1000.0,4872,9744,1029.6268472906404,9939918.0,159.038688,80.261472
1500.0,4768,14512,1005.7900587248322,1.4735525E7,117.8842,76.729712
2000.0,4735,19247,1021.0946145723337,1.9570408E7,104.37550933333333,77.358128
2500.0,4925,24172,1026.7579695431473,2.4627191E7,98.508764,80.908528
3000.0,4868,29040,1032.4490550534101,2.9653153E7,94.89008960000001,80.415392
3500.0,4821,33861,1016.2337689276084,3.4552416E7,92.139776,78.388208
4000.0,4886,38747,1028.0785918952108,3.9575608E7,90.45853257142856,80.371072
4500.0,4906,43653,1020.9759478189972,4.4584516E7,89.169032,80.142528
5000.0,4912,48565,1018.1215390879479,4.9585529E7,88.15205155555557,80.016208
5500.0,4792,53357,1021.4929048414024,5.4480523E7,87.16883680000001,78.319904
6000.0,4773,58130,1020.4772679656401,5.9351261E7,86.32910690909092,77.931808
6500.0,4815,62945,1018.0207684319834,6.4253031E7,85.670708,78.42832
7000.0,4878,67823,1008.9372693726938,6.9174627E7,85.13800246153846,78.745536
7500.0,4898,72721,1024.016129032258,7.4190258E7,84.78886628571429,80.250096
8000.0,4714,77435,1012.6817988969028,7.896404E7,84.22830933333334,76.380512
8500.0,4819,82254,1025.4262295081967,8.3905569E7,83.905569,79.064464
9000.0,4743,86997,1007.0092768290111,8.8681814E7,83.46523670588236,76.41992
9500.0,4907,91904,1030.4242918280008,9.3738106E7,83.3227608888889,80.900672
10000.0,4857,96761,1028.1222977146388,9.8731696E7,83.14248084210526,79.89744000000002
10500.0,4850,101611,1023.460412371134,1.03695479E8,82.9563832,79.420528
11000.0,4714,106325,1028.2738650827323,1.08542762E8,82.69924723809524,77.556528
11500.0,4763,111088,1015.0436699559101,1.13377415E8,82.45630181818181,77.354448
12000.0,4831,115919,1023.4226868143242,1.1832157E8,82.31065739130436,79.10648
12500.0,4782,120701,1021.6601840234212,1.23207149E8,82.13809933333333,78.169264
13000.0,4928,125629,1029.2120535714287,1.28279106E8,82.09862784,81.15131200000002
13500.0,4806,130435,1024.7384519350812,1.33203999E8,81.9716916923077,78.798288
14000.0,4786,135221,1018.321353949018,1.38077685E8,81.82381333333335,77.978976
14500.0,4810,140031,1020.6952182952183,1.42987229E8,81.706988,78.552704
15000.0,4849,144880,1024.0973396576615,1.47953077E8,81.62928386206896,79.453568
15500.0,4882,149762,1021.8240475215076,1.52941622E8,81.56886506666666,79.81672
16000.0,4816,154578,1013.7290282392026,1.57823741E8,81.45741470967742,78.113904
16500.0,4707,159285,1019.556830252815,1.62622795E8,81.3113975,76.784864
17000.0,4895,164180,1018.5836567926456,1.67608762E8,81.26485430303029,79.775472
17500.0,4710,168890,1016.648195329087,1.72397175E8,81.12808235294116,76.614608
18000.0,4868,173758,1024.3792111750206,1.77383853E8,81.08976137142857,79.786848
18500.0,4797,178555,1013.4721701063164,1.82245479E8,80.99799066666667,77.786016
19000.0,4943,183498,1017.2201092453976,1.87273598E8,80.98317751351351,80.449904
19500.0,4920,188418,1008.3926829268293,1.9223489E8,80.94100631578948,79.380672
20000.0,4830,193248,1028.6910973084887,1.97203468E8,80.90398687179487,79.497248
20500.0,4801,198049,1022.3942928556551,2.02111983E8,80.8447932,78.53624
21000.0,4891,202940,1005.5268861173585,2.07030015E8,80.79220097560975,78.688512
21500.0,4943,207883,1015.3588913615214,2.12048934E8,80.78054628571428,80.302704
22000.0,4805,212688,1022.3001040582726,2.16961086E8,80.72970641860464,78.594432
22500.0,4806,217494,1014.1864336246359,2.21835266E8,80.66736945454545,77.98688
23000.0,4860,222354,1033.0586419753085,2.26855931E8,80.65988657777778,80.33064
23500.0,4789,227143,1029.1651701816663,2.31784603E8,80.62073147826088,78.858752
24000.0,4740,231883,1009.4059071729957,2.36569187E8,80.53419131914893,76.553344
24500.0,4825,236708,1023.0087046632125,2.41505204E8,80.50173466666668,78.976272
25000.0,4793,241501,1004.0667640308784,2.46317696E8,80.43026808163265,76.999872
25500.0,4803,246304,1017.5384134915678,2.51204933E8,80.38557855999998,78.195792
26000.0,4777,251081,1027.7850115135022,2.56114662E8,80.34969788235293,78.555664
26500.0,4805,255886,1024.5336108220604,2.61037546E8,80.31924492307692,78.766144
27000.0,4919,260805,1024.287660093515,2.66076017E8,80.32483532075472,80.615536
27500.0,4928,265733,1010.2471590909091,2.71054515E8,80.3124488888889,79.655968
28000.0,4789,270522,1016.3476717477553,2.75921804E8,80.26816116363638,77.876624
28500.0,4833,275355,1028.929857231533,2.80894622E8,80.25560628571428,79.56508799999999
29000.0,4825,280180,1016.7863212435233,2.85800616E8,80.22473431578948,78.495904
29500.0,4769,284949,1037.8565737051792,2.90750154E8,80.20693903448276,79.192608
30000.0,4897,289846,1016.7416785787217,2.95729138E8,80.19773233898306,79.663744
30500.0,4717,294563,1014.9258002967988,3.00516543E8,80.1377448,76.59848
31000.0,4731,299294,1034.428662016487,3.05410425E8,80.10765245901638,78.30211199999998
31500.0,4766,304060,1029.0025178346623,3.10314651E8,80.08120025806453,78.467616
32000.0,4896,308956,1030.2046568627452,3.15358533E8,80.091056,80.70211200000001
32500.0,4814,313770,1010.7332779393436,3.20224203E8,80.05605075,77.85072
33000.0,4909,318679,1031.4518231819109,3.252876E8,80.07079384615383,81.014352
33500.0,4892,323571,1012.6899018806214,3.30241679E8,80.05858884848486,79.265264
34000.0,4873,328444,1018.0260619741432,3.3520252E8,80.04836298507462,79.373456
34500.0,4922,333366,1012.5806582689963,3.40186442E8,80.04386870588236,79.742752
35000.0,4853,338219,1024.5553266021018,3.45158609E8,80.03677889855072,79.554672
35500.0,4829,343048,1016.8500724787741,3.50068978E8,80.01576639999999,78.565904
36000.0,4829,347877,1021.4974114723545,3.55001789E8,80.00040315492957,78.924976
36500.0,4790,352667,1020.7939457202506,3.59891392E8,79.97586488888888,78.233648
37000.0,4790,357457,1033.198121085595,3.64840411E8,79.96502158904109,79.184304
37500.0,4770,362227,1014.5046121593291,3.69679598E8,79.93072389189189,77.426992
38000.0,4845,367072,1020.8542827657378,3.74625637E8,79.92013589333335,79.136624
38500.0,4893,371965,1023.8201512364602,3.79635189E8,79.92319768421052,80.152832
39000.0,4925,376890,1022.8353299492386,3.84672653E8,79.93197984415583,80.599424
39500.0,4688,381578,1021.3368174061434,3.8946068E8,79.88937025641026,76.608432
40000.0,4808,386386,1012.4292845257903,3.9432844E8,79.86398784810127,77.88416
40500.0,4687,391073,1029.941327074888,3.99155775E8,79.831155,77.23736
41000.0,4739,395812,1025.8944925089681,4.04017489E8,79.80592375308642,77.787424
41500.0,4735,400547,1041.2027455121436,4.08947584E8,79.79465053658537,78.88152
42000.0,4810,405357,1026.2390852390852,4.13883794E8,79.78482775903613,78.97936
42500.0,4779,410136,1025.4607658505963,4.18784471E8,79.76847066666666,78.410832
43000.0,4929,415065,1022.8640697910326,4.23826168E8,79.7790433882353,80.667152
43500.0,4819,419884,1018.4857854326624,4.28734251E8,79.76451181395349,78.529328
44000.0,4856,424740,1011.581136738056,4.33646489E8,79.75107843678161,78.595808
44500.0,4761,429501,1025.6063852131906,4.38529401E8,79.73261836363636,78.12659200000002
45000.0,4886,434387,1029.536021285305,4.43559714E8,79.74107217977529,80.485008
45500.0,4813,439200,1024.5291917722834,4.48490773E8,79.73169297777778,78.896944
46000.0,4861,444061,1024.5200576013167,4.53470965E8,79.73115868131869,79.683072
46500.0,4956,449017,1028.2397094430992,4.58566921E8,79.75076886956522,81.53529599999999
47000.0,4898,453915,1017.0406288280931,4.63548386E8,79.75025995698924,79.70344
47500.0,4804,458719,1028.174229808493,4.68487735E8,79.74259319148935,79.029584
48000.0,4788,463507,1032.0659983291562,4.73429267E8,79.73545549473685,79.064512
48500.0,4644,468151,1016.6569767441861,4.78150622E8,79.69177033333332,75.54168
49000.0,4753,472904,1016.8865979381443,4.82983884E8,79.66744478350516,77.332192
