time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
0.0,0,0,NaN,0.0,NaN,NaN
500.0,1,1,213.0,213.0,0.003408,0.003408
1000.0,0,1,NaN,213.0,0.001704,NaN
1500.0,0,1,NaN,213.0,0.001136,NaN
2000.0,0,1,NaN,213.0,8.52E-4,NaN
2500.0,0,1,NaN,213.0,6.816E-4,NaN
3000.0,0,1,NaN,213.0,5.68E-4,NaN
3500.0,0,1,NaN,213.0,4.868571428571429E-4,NaN
4000.0,1,2,415.0,628.0,0.001256,0.00664
4500.0,1,3,415.0,1043.0,0.0018542222222222222,0.00664
5000.0,0,3,NaN,1043.0,0.0016688,NaN
5500.0,0,3,NaN,1043.0,0.001517090909090909,NaN
6000.0,0,3,NaN,1043.0,0.0013906666666666668,NaN
6500.0,0,3,NaN,1043.0,0.0012836923076923075,NaN
7000.0,1,4,470.0,1513.0,0.001729142857142857,0.00752
7500.0,1,5,470.0,1983.0,0.0021152000000000002,0.00752
8000.0,0,5,NaN,1983.0,0.001983,NaN
8500.0,0,5,NaN,1983.0,0.0018663529411764705,NaN
9000.0,0,5,NaN,1983.0,0.0017626666666666665,NaN
9500.0,0,5,NaN,1983.0,0.0016698947368421055,NaN
10000.0,0,5,NaN,1983.0,0.0015864000000000002,NaN
10500.0,0,5,NaN,1983.0,0.001510857142857143,NaN
11000.0,0,5,NaN,1983.0,0.0014421818181818181,NaN
11500.0,0,5,NaN,1983.0,0.0013794782608695653,NaN
12000.0,0,5,NaN,1983.0,0.001322,NaN
12500.0,0,5,NaN,1983.0,0.00126912,NaN
13000.0,0,5,NaN,1983.0,0.0012203076923076924,NaN
13500.0,1,6,235.0,2218.0,0.0013143703703703705,0.00376
14000.0,1,7,235.0,2453.0,0.0014017142857142859,0.00376
14500.0,0,7,NaN,2453.0,0.0013533793103448274,NaN
15000.0,0,7,NaN,2453.0,0.0013082666666666667,NaN
15500.0,1,8,176.0,2629.0,0.0013569032258064515,0.002816
16000.0,1,9,176.0,2805.0,0.0014025,0.002816
16500.0,1,10,99.0,2904.0,0.001408,0.001584
17000.0,1,11,99.0,3003.0,0.0014131764705882354,0.001584
17500.0,0,11,NaN,3003.0,0.0013728,NaN
18000.0,0,11,NaN,3003.0,0.0013346666666666667,NaN
18500.0,0,11,NaN,3003.0,0.0012985945945945948,NaN
19000.0,0,11,NaN,3003.0,0.001264421052631579,NaN
19500.0,0,11,NaN,3003.0,0.001232,NaN
20000.0,0,11,NaN,3003.0,0.0012012000000000001,NaN
20500.0,0,11,NaN,3003.0,0.00117190243902439,NaN
21000.0,0,11,NaN,3003.0,0.001144,NaN
21500.0,0,11,NaN,3003.0,0.0011173953488372093,NaN
22000.0,1,12,192.0,3195.0,0.0011618181818181818,0.003072
22500.0,1,13,372.0,3567.0,0.0012682666666666666,0.005952
23000.0,2,15,240.0,4047.0,0.0014076521739130436,0.00768
23500.0,1,16,108.0,4155.0,0.001414468085106383,0.001728
24000.0,0,16,NaN,4155.0,0.001385,NaN
24500.0,0,16,NaN,4155.0,0.0013567346938775512,NaN
25000.0,0,16,NaN,4155.0,0.0013296,NaN
25500.0,0,16,NaN,4155.0,0.0013035294117647058,NaN
26000.0,0,16,NaN,4155.0,0.0012784615384615386,NaN
26500.0,0,16,NaN,4155.0,0.0012543396226415092,NaN
27000.0,0,16,NaN,4155.0,0.001231111111111111,NaN
27500.0,1,17,390.0,4545.0,0.001322181818181818,0.00624
28000.0,1,18,390.0,4935.0,0.00141,0.00624
28500.0,1,19,311.0,5246.0,0.001472561403508772,0.004976
29000.0,0,19,NaN,5246.0,0.0014471724137931036,NaN
29500.0,0,19,NaN,5246.0,0.0014226440677966102,NaN
30000.0,0,19,NaN,5246.0,0.0013989333333333334,NaN
30500.0,0,19,NaN,5246.0,0.001376,NaN
31000.0,0,19,NaN,5246.0,0.0013538064516129033,NaN
31500.0,0,19,NaN,5246.0,0.0013323174603174603,NaN
32000.0,1,20,58.0,5304.0,0.001326,9.28E-4
32500.0,1,21,58.0,5362.0,0.0013198769230769233,9.28E-4
33000.0,0,21,NaN,5362.0,0.0012998787878787878,NaN
33500.0,0,21,NaN,5362.0,0.0012804776119402987,NaN
34000.0,0,21,NaN,5362.0,0.0012616470588235292,NaN
34500.0,0,21,NaN,5362.0,0.0012433623188405798,NaN
35000.0,0,21,NaN,5362.0,0.0012255999999999999,NaN
35500.0,0,21,NaN,5362.0,0.0012083380281690142,NaN
36000.0,0,21,NaN,5362.0,0.0011915555555555555,NaN
36500.0,0,21,NaN,5362.0,0.0011752328767123288,NaN
37000.0,0,21,NaN,5362.0,0.0011593513513513515,NaN
37500.0,0,21,NaN,5362.0,0.0011438933333333334,NaN
38000.0,0,21,NaN,5362.0,0.001128842105263158,NaN
38500.0,0,21,NaN,5362.0,0.0011141818181818182,NaN
39000.0,1,22,410.0,5772.0,0.001184,0.00656
39500.0,1,23,410.0,6182.0,0.0012520506329113926,0.00656
40000.0,0,23,NaN,6182.0,0.0012364,NaN
40500.0,0,23,NaN,6182.0,0.0012211358024691358,NaN
41000.0,1,24,181.0,6363.0,0.001241560975609756,0.002896
41500.0,1,25,181.0,6544.0,0.0012614939759036145,0.002896
42000.0,1,26,181.0,6725.0,0.0012809523809523807,0.002896
42500.0,0,26,NaN,6725.0,0.0012658823529411764,NaN
43000.0,0,26,NaN,6725.0,0.0012511627906976743,NaN
43500.0,0,26,NaN,6725.0,0.0012367816091954024,NaN
44000.0,0,26,NaN,6725.0,0.0012227272727272727,NaN
44500.0,1,27,144.0,6869.0,0.001234876404494382,0.002304
45000.0,1,28,144.0,7013.0,0.0012467555555555558,0.002304
45500.0,1,29,144.0,7157.0,0.0012583736263736263,0.002304
46000.0,1,30,144.0,7301.0,0.0012697391304347827,0.002304
46500.0,0,30,NaN,7301.0,0.0012560860215053765,NaN
47000.0,0,30,NaN,7301.0,0.0012427234042553194,NaN
47500.0,0,30,NaN,7301.0,0.001229642105263158,NaN
